#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Goodtimes","Flyying Colours",3,110,"australian shoegaze, nu gaze, shoegaze","Rock","Goodtimes",2019-11-29,04:03,46,88,0,84,46,0,10,-8,B Minor,4,2020-01-06,29IyWsB0QkkDrXbqjWQRdF,"Club AC30",10A,https://p.scdn.co/mp3-preview/c36b8ae5de628ac9c8ba9e7771095be77e0d2d49?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516d047dc91fbdc697b60cf645
2,"Are You Sure","beabadoobee",39,126,"bedroom pop, bubblegrunge, indie pop, pov: indie","Pop, Rock","Space Cadet",2019-10-14,04:04,46,81,0,0,15,0,0,-4,D Major,4,2020-01-06,1d4EO17bQjTyG910D2y8bN,"Dirty Hit",10B,https://p.scdn.co/mp3-preview/ad6df6367ed687ed683b9258f5ceb8398516ae12?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851169592719e46bcd4266f24ab
3,"In Dreams","Math and Physics Club",3,69,"c86, seattle indie, tape club, twee pop","Rock, Pop","Indian Ocean",2019-12-13,03:12,51,37,54,0,24,0,10,-11,F Major,4,2020-01-06,2am1qQ9iQOYR3LvYiaGQWO,"Matinée Recordings",7B,https://p.scdn.co/mp3-preview/3d573c1bd43d9f622f66c3916cb7c40d303140b6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517ed546215e5b067de27108f9
4,"New year, new me","Sløtface",7,101,"bubblegrunge, norwegian indie","Rock, Electronic","New year, new me",2019-12-05,02:30,69,43,6,0,43,0,0,-10,C Major,4,2020-01-06,2KLmymmv9ewGFFxSRtIRVN,"Propeller Recordings",8B,https://p.scdn.co/mp3-preview/1f938af3a5483b04d368760ba1aa3e32c95f28bd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d42cd2f97a355b98dff57aa9
5,"Más de una Vez","El Shirota",0,95,"cdmx indie, garage rock mexicano, indie rock mexicano, mexican rock","Latin, Rock","Más de una Vez",2019-11-22,04:36,65,74,3,1,67,0,40,-7,E Minor,4,2020-01-07,1h60uIZlSuKwKwreUE3w1N,"Del Sur",9A,,https://i.scdn.co/image/ab67616d000048511a3200cc4f4b0e9c173db589
6,"Chk Chk","Puncke",4,156,"croatian indie","Rock","Chk Chk",2019-11-03,03:15,37,76,0,67,36,0,20,-9,F Minor,4,2020-01-08,73QyeCfRUM1NwjUzEVDEfB,"Cereal Records",4A,https://p.scdn.co/mp3-preview/86c5727099dd80954bfdad93db7e026f3ea11a0d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c4b070bc867b91c2093e1a93
7,"Parakeet","Birthh",5,108,"firenze indie, italian indie pop","Rock, Pop","Parakeet",2020-01-10,03:00,53,28,85,0,26,0,10,-12,D#/E♭ Major,3,2020-01-10,483um3awyE7XKRoXkbA00l,"Carosello Records",5B,https://p.scdn.co/mp3-preview/0b80827b1d6b639df2c0fb7e12965593e85b914e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485135358e34ecf1634047a47f84
8,"Clicks","Yirim Seck",3,90,"seattle hip hop","Hip Hop","Hear Me Out Too (Seckond Edition)",2019-11-18,03:50,80,63,5,0,85,40,30,-7,F#/G♭ Minor,4,2020-01-10,7kcheEBXgQ0paIVZAH14is,"Yirim Seck Music/Afri-Coast Media",11A,https://p.scdn.co/mp3-preview/3c04ac5500bdaa48890955835394bf409873dd0b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485191ede273c10b7038479092a6
9,"Sway","The Sweet Release of Death",5,137,"rotterdam indie","Rock","Sway",2019-04-18,04:04,24,92,0,5,19,0,0,-9,F#/G♭ Major,4,2020-01-13,5zbxNjePNCNoPWJ6cZdcoL,"Subroutine Records",2B,https://p.scdn.co/mp3-preview/8d09d878dd232efb760596d6fb1353230b806bcb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514c537432326acaba28675a7b
10,"Sing Me to the Street","BAMBARA",0,127,"american post-punk, brooklyn indie, crank wave","Rock","Sing Me to the Street",2019-12-03,04:19,45,79,13,96,69,0,10,-8,D Minor,4,2020-01-14,2RnQCTWvsJJIAOjc2sOe7L,"Wharf Cat Records",7A,,https://i.scdn.co/image/ab67616d00004851fac282f2e9d748ca7c72bc33
