#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Paper Snowflakes","Tomo Nakayama",8,122,"","","Paper Snowflakes",2020-12-04,03:54,42,46,29,0,31,0,30,-7,G Major,3,2021-01-01,5KxCpoKXHKiik2ZtKZsKLv,"Tomo Nakayama",9B,https://p.scdn.co/mp3-preview/3994808b2d1b83f1edd74741312bd7197cc860dc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f6dc90d419f9d91255d69a9f
2,"Such a Man","Yung",0,173,"danish post-punk","Rock","Such a Man",2020-12-02,03:03,20,87,2,1,36,0,30,-7,C Major,4,2021-01-04,6RRWXNJfEvpptWmexmLuhp,"PNKSLM Recordings",8B,,https://i.scdn.co/image/ab67616d0000485117d0da233b130e0392f93479
3,"Long Road Home","Oneohtrix Point Never",0,77,"ambient, art pop, drone, escape room, experimental pop, fluxwork, hauntology, hypnagogic pop, intelligent dance music, wonky","Electronic, Pop, New age","Magic Oneohtrix Point Never",2020-10-30,03:32,47,59,33,5,38,0,10,-7,C♯/D♭ Minor,4,2021-01-05,31Ocb5xOyTkjIyv7FdBF05,"Warp Records",12A,,https://i.scdn.co/image/ab67616d0000485130ceed1406b1a6c0fb7b1454
4,"Come Over","Knox Fortune",0,86,"chicago indie","Rock","Stock Child Wonder",2020-10-30,03:12,34,70,14,5,46,0,10,-6,B Major,4,2021-01-06,0DCMAJv05vTjQyMbCr2495,"Knox Fortune + Nice Work",1B,,https://i.scdn.co/image/ab67616d000048518792186e904b9a755eb48c83
5,"Cut It Loose","Maxband",21,167,"","","Cut It Loose",2020-10-15,03:05,57,82,0,45,72,0,0,-7,C Major,4,2021-01-07,72U4gGNbutUFgzOuAsevwq,"Maximum Band Recordings",8B,https://p.scdn.co/mp3-preview/291a0d402548be29ac63b3fdbffa70533811ddb3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513314d0fb68cd8e4fbdbe3e07
6,"World's Fair","Hi Crime",2,135,"","","World's Fair",2020-11-06,03:43,66,72,0,0,62,0,10,-9,C Major,4,2021-01-08,6eDTwHTPR62TDKdrVHNeBe,"Hi Crime",8B,https://p.scdn.co/mp3-preview/83da57633fa58cff19a79a329462208497967683?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a02d4e251ece42ba3a3724d7
7,"I Wanna Feel Love","Julia Bardo",7,123,"","","I Wanna Feel Love",2020-01-28,03:38,45,66,2,0,44,0,0,-6,F#/G♭ Major,4,2021-01-11,4CX7d00rNq3p0b2cIb09cD,"Wichita Recordings",2B,https://p.scdn.co/mp3-preview/ac679887917a1608fde18a5d936c8722a9346263?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513fffc7cbb22b2fd52a31c886
8,"Дикі танці","alyona alyona",18,160,"ukrainian hip hop, ukrainian pop, ukrainian rock","Hip Hop, Pop, Rock","В хаті МА",2019-11-25,02:57,79,88,4,0,69,0,10,-5,D Major,4,2021-01-12,2CIOasMYZsXcQ7DrgOXaF1,"Hitwonder",10B,https://p.scdn.co/mp3-preview/dfe21dcc6fd9aab483fb34e379cfb1ceacec100a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e8dd34da154535b5511df6ea
9,"Destino","Lina,Raül Refree",11,125,"euskal musica","Latin","Lina_Raül Refree",2020-01-17,03:08,29,30,1,92,4,0,10,-17,D#/E♭ Minor,4,2021-01-13,17110F8yMSA9neOJsrvRvq,"Glitterbeat Records",2A,https://p.scdn.co/mp3-preview/41fff3a409391f07b7f93d9f059204679c318ec7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d15e134a3fc6b5eadd68ef97
10,"Maybe in the Summer","Sassy 009",28,134,"electra","Pop","KILL SASSY 009",2019-11-22,03:20,62,94,3,18,88,0,10,-6,A#/B♭ Major,4,2021-01-14,3xj837YDEJHCrFis2IK9U9,"Luft Recordings",6B,https://p.scdn.co/mp3-preview/714e998cc161fc69e0fa05bf96e4723b289a65e1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514a6c37990cff444d3e25286b
11,"No puedo pensar","Melenas",0,157,"spanish noise pop","Pop","Dias Raros",2020-05-08,03:03,27,66,1,66,45,0,10,-8,E Minor,4,2021-01-15,149og0oKb57OaboQHvw4Yu,"Trouble In Mind Records",9A,,https://i.scdn.co/image/ab67616d000048512766f9e786dac41284774dd4
12,"Love, Money Pt. 2","Sen Morimoto",0,140,"jazz rap","Hip Hop","Sen Morimoto",2020-10-23,02:49,30,70,0,0,34,0,10,-10,B Minor,4,2021-01-18,3Tk5g47N9eKX5txWDAU8f7,"Sooper Records",10A,,https://i.scdn.co/image/ab67616d00004851a957341d8a1a75973d22bee0
