#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview
1,Jazz Is Dead - Georgia Anne Muldrow Geemix,"Adrian Younge,Ali Shaheed Muhammad,The Midnight Hour,Georgia Anne Muldrow",8,93,"african-american classical, indie jazz, alternative r&b, instrumental hip hop","Classical, R&B, Jazz, Hip Hop",Remixes JID010,12/3/2021,2:41,60,56,46,73,59,0,10,-10,D Minor,4,1/3/2022,09RtwX5CcWq9xcdPZpT1CL,Jazz Is Dead,7A,https://p.scdn.co/mp3-preview/5877856c79c8facf41ca8e87892e890fbbf81c57?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485121cc532de91c1c025cbab8f1
2,DERIVE,"Waahli,Webz",0,81,"canadian latin, ",Latin,DERIVE,11/19/2021,3:51,69,49,44,1,26,0,10,-10,C♯/D♭ Minor,4,1/4/2022,2p1AzsWi2f3XiKkmUEIBvu,Nomadic Massive Productions,12A,,https://i.scdn.co/image/ab67616d00004851f9f07968b3a17d904a65be18
3,Tabula Rasa (feat. Armand Hammer),"Earl Sweatshirt,Armand Hammer",33,113,"alternative hip hop, drumless hip hop, experimental hip hop, hip hop, rap, underground hip hop",Hip Hop,Tabula Rasa (feat. Armand Hammer),12/10/2021,4:11,55,62,4,0,58,10,10,-4,A#/B♭ Minor,4,1/5/2022,3xSEiVqKlhhoblSxbfCtUR,Warner Records,3A,https://p.scdn.co/mp3-preview/f6eeb178d53f4894140045ff798461a247d6c5c8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851dc824d9723a775644d711ed5
4,Nose Dive,NEONE the Wonderer,34,134,,,Nose Dive,10/19/2021,4:25,79,71,9,5,86,0,0,-6,G Minor,4,1/6/2022,3Lga0dYFyxf8vf7iJKXQB0,Brownswood Recordings,6A,https://p.scdn.co/mp3-preview/7d1587db2c8d763e503d5636a8d1e18cbccebe3c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515b70e527eb504eb032ce31b1
5,Home,"Eternia,Rel McCoy,Shad,SHEAL",8,88,"alternative r&b, canadian hip hop, canadian old school hip hop, conscious hip hop, ","R&B, Hip Hop",FREE,9/24/2021,3:27,56,61,74,0,32,20,10,-7,C♯/D♭ Major,4,1/7/2022,6M0ZuVAn2oWhe9c6kKaLtz,Fat Beats Records,3B,https://p.scdn.co/mp3-preview/c33ab904a18f9175bc635ffd150a725561ecc4fb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517147fc620958fc0651504fa4
6,Come By,Carrie Biell,4,89,,,Come By,10/22/2021,3:11,52,50,38,0,35,0,10,-11,C Major,4,1/10/2022,7y99mwezDNhOWDzmfTt2BH,Carrie Biell,8B,https://p.scdn.co/mp3-preview/b3cea36738d3d6378bbb469b3e25c5d0756348c4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511b12bf5d7aac4d84ca7b8fec
7,Rosewood,Bonobo,47,121,"downtempo, electronica, indietronica, instrumental hip hop, jazztronica, nu jazz, trip hop","Electronic, Pop, Hip Hop, Jazz",Rosewood,10/6/2021,4:02,76,64,7,49,43,0,10,-9,A#/B♭ Minor,4,1/11/2022,3MOhipHFUkGpS0rV7cKrJO,Ninja Tune,3A,https://p.scdn.co/mp3-preview/ddfdc2b6fc9b4a8eb160adbff337b4b2dde19bcc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cf05b47b48b92a8c47205123
8,New Moon,Laetitia Sadier,15,117,dream pop,Pop,New Moon,10/15/2021,4:06,56,54,25,5,30,0,0,-8,E Minor,4,1/12/2022,2yNoNq2MWvV2l7eQa91CSV,Duophonic Super 45s,9A,https://p.scdn.co/mp3-preview/f0bad5b7bdd61cc92c64fab0becee2aa4b70a6bb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517480764f1065d5c04098db45
9,Run To Stay,Constant Smiles,39,122,,,Paragons,11/12/2021,2:37,61,76,21,35,75,0,10,-9,C♯/D♭ Minor,4,1/13/2022,7HMpY53QIyMFAlcZqKfYAY,Sacred Bones Records,12A,https://p.scdn.co/mp3-preview/e6d25e485a3a57105a47cd938c73d88c54340893?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485113c1f6598c6109d4e177a85f
10,I'd Be Broke,Floored Faces,2,172,,,I'd Be Broke,10/20/2021,3:44,26,90,0,73,17,0,10,-7,A Major,4,1/14/2022,1sfUr9XN0b7mC5Z5qdQprF,Skyway Records,11B,https://p.scdn.co/mp3-preview/cf08f88df0e49706ce0bd90b2ee25b495644f786?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512b9e2c52990db61c1ecf26d7
11,Once Twice Melody,Beach House,0,168,"art pop, baltimore indie, dream pop, dreamo, indie pop, indie rock, indietronica, modern dream pop, pov: indie","Pop, Rock",Once Twice Melody,12/8/2021,4:44,36,74,38,86,43,0,10,-11,G Minor,4,1/17/2022,6CKsbTf8sdbVrouTPRmecU,Bella Union,6A,,https://i.scdn.co/image/ab67616d00004851a0f92e160324eea3c797c243
12,Electricity,Ibibio Sound Machine,0,98,"afro psych, afro-funk",World/Traditional,All That You Want,1/18/2022,4:47,75,73,14,7,40,0,0,-8,G Major,4,1/18/2022,70CkT7ZQLeseEvtwHpDB49,Merge Records,9B,,https://i.scdn.co/image/ab67616d00004851f187671bc67d5e5b20bc9b01
13,Just For Love,Bully,25,174,"bubblegrunge, indie punk, modern power pop","Rock, Pop",Just For Love,12/6/2021,3:17,37,93,0,0,56,20,30,-7,E Major,4,1/19/2022,6wQeNdJeBm6QCQQNIkQhd8,Sub Pop Records,12B,https://p.scdn.co/mp3-preview/1fa7c50c846369be022bd1729eb19c338aa3fc4d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e1e35ffb9c0252c7928f013f
14,Somethinggreater,Parcels,56,110,"aussietronica, indie soul","Electronic, R&B",Day/Night,11/5/2021,5:21,69,64,32,0,86,0,0,-10,C♯/D♭ Minor,4,1/20/2022,1Uxti0PEEdieT526B8dAxZ,Because Music,12A,https://p.scdn.co/mp3-preview/e58f572438d3110fdf4a9a76c8401ca27f7fe617?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514148eebf7cfaf56f5d3bb144
15,julia,Jayomi,12,132,chill dream pop,Pop,midnight love note,9/17/2021,3:06,56,71,0,51,38,0,10,-9,F Major,4,1/21/2022,7xvxXQJ0APzeHyqEuDkrAw,WZZ,7B,https://p.scdn.co/mp3-preview/7ab2e7d6f642ebacb6f4ae5da2ec5c54a1c9b7b6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511a9baabf7c4be20267ae6259
16,Vay Aman,Ladaniva,28,132,"armenian folk, armenian hip hop","Folk/Acoustic, Hip Hop",Ladaniva,6/13/2020,3:18,55,49,11,0,49,20,30,-11,G Major,4,1/24/2022,0lCIidioXUaPNGEhw2Ewh8,JIGULI,9B,https://p.scdn.co/mp3-preview/7f61a336e267ba11f2a13a604e263bee5c3df995?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d0168d6e8cf3a0e0bdaa3f37
17,Joe,Meskerem Mees,50,53,belgian singer-songwriter,New age,Julius,11/12/2021,3:12,59,18,86,0,34,0,10,-14,D#/E♭ Major,4,1/25/2022,0uLrfjlCV5eCQcEwwmz8uX,Mayway Records,5B,https://p.scdn.co/mp3-preview/1a945309d451fa89f5a5dbd348b2bfc84ab1bf92?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519f6a2b0ca7502a91abe0d898
