#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"Le soleil dans le monde","Domenique Dumont",51,94,"fluxwork, fourth world","Pop, New age","Miniatures de auto rhythm",2018-10-01,04:02,71,55,34,30,78,0,30,-11,F Minor,4,2019-01-02,4Ve8G6KOhjDwi1fSOOdYds,"Antinote",4A,https://p.scdn.co/mp3-preview/d08d3d0785fca573216f7544d47a824359cdbd91?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485186ea698b2e953980fa6fac14
2,"Sensitive","Brother Ali",0,82,"abstract hip hop, conscious hip hop, minnesota hip hop, political hip hop","Hip Hop","Sensitive",2018-10-26,03:39,78,60,14,0,79,30,10,-5,F Major,4,2019-01-02,0OiQ0PWBTEhOiWHPk3WbWD,"Rhymesayers",7B,,https://i.scdn.co/image/ab67616d000048514c125923e2fdd5f085ff6c8f
3,"Sunshine","Blushing",3,80,"american shoegaze, austindie, dreamgaze, nu gaze, shoegaze","Rock, Folk/Acoustic","The Truth / Sunshine",2018-10-26,04:35,28,53,12,12,10,0,20,-9,E Minor,3,2019-01-03,22kS1LhLdZNTFgZreYgdus,"The Nothing Song Records",9A,https://p.scdn.co/mp3-preview/00b9ae56f58f029720a8bed8b9f6f2360f7b990e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485185311a73713d3ed5e19c2e83
4,"Revolution Lover","Left at London",36,148,"transpop","Pop","Transgender Street Legend, Vol. 1",2018-11-10,02:22,54,82,15,0,72,0,50,-7,F#/G♭ Major,4,2019-01-04,3qBg6BeHJlGgwl5aCa09EC,"Left at London is Gay",2B,https://p.scdn.co/mp3-preview/a2f90992103b76401f49bac0000055e91f899030?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c4d545115f0b59b53cf4fc10
5,"Poison","David Nance Group",0,174,"omaha indie","Rock","Peaced and Slightly Pulverized",2018-10-05,03:02,13,71,1,1,48,0,0,-4,D Major,4,2019-01-09,5gMtCAMUpAyyAfcOmCEiFW,"Trouble In Mind Records",10B,,https://i.scdn.co/image/ab67616d00004851026b0fa2f8337cd07cbb6d75
6,"Beggars in the House of Plenty","Generationals",0,112,"indie rock, indietronica, new orleans indie, shimmer pop, stomp and holler","Rock, Pop, Folk/Acoustic","State Dogs: Singles 2017-18",2018-12-07,02:42,54,74,1,9,28,0,20,-7,G Major,4,2019-01-09,3ry5jhTGniqmuggooFkaPo,"Polyvinyl Records",9B,,https://i.scdn.co/image/ab67616d000048511b8f8f82db7d9071b7b068e0
7,"Heated","Doe",2,108,"indie punk","Rock","Grow into It",2018-09-28,04:03,50,70,1,0,52,0,10,-7,B Major,3,2019-01-09,4VqQ7wD7USmBYNiuNi64pg,"Big Scary Monsters",1B,https://p.scdn.co/mp3-preview/68007c89d87faf5dbe570717ab8267d5bec80b70?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851837c115f3c87ce81dabce8a4
8,"Blue Again","Weakened Friends",0,96,"boston indie, bubblegrunge, diy emo, maine indie","Rock, Folk/Acoustic","Common Blah",2018-10-19,03:00,47,79,0,0,34,0,10,-5,A Major,4,2019-01-10,7IMFXRGuKZvrOEHChP9DZK,"Don Giovanni Records",11B,,https://i.scdn.co/image/ab67616d00004851bc0d80d3290e83e41258defa
9,"Set a Course","Telekinesis",0,156,"seattle indie","Rock","Set a Course",2018-11-28,03:38,50,40,47,4,21,0,20,-10,E Major,4,2019-01-11,3gl3Sm85Dc5Aul2e6mlhrH,"Merge Records",12B,,https://i.scdn.co/image/ab67616d000048514f253952b697874eb7b987ca
10,"Ordinary Pleasure","Toro y Moi",0,115,"chillwave, hypnagogic pop, indie soul, indietronica","Rock, Pop, R&B","Ordinary Pleasure",2018-12-04,03:03,88,78,12,2,78,10,10,-7,G Major,4,2019-01-14,3RiebNMjrNhskI2jn9AZ20,"Carpark Records",9B,,https://i.scdn.co/image/ab67616d0000485145d162f12fabc035356651c3
11,"Getting in a Van Again","Fruit Bats",0,120,"chamber pop, indie folk, indie rock, new americana, stomp and holler","Pop, Folk/Acoustic, Rock","Getting in a Van Again",2018-11-08,03:14,47,83,1,37,44,0,20,-6,F Major,4,2019-01-15,72UnOCk72hZUdCSOpfWheL,"Merge Records",7B,,https://i.scdn.co/image/ab67616d000048519afe4ab359783963037c922f
