#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview
1,Hearing Voices,Contour,25,84,south carolina indie,Folk/Acoustic,Onwards!,10/7/2022,2:17,45,66,52,0,64,20,50,-9,C♯/D♭ Major,4,1/2/2023,603SmYigk1thhuUwSzSCct,"Touching Bass Limited, Distributed by Venice Music",3B,https://p.scdn.co/mp3-preview/2d44c66d71bb4588a5f27df5a9f43279dc516d2b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e29f39ae7aa7b998229f6943
2,Angel,Little Simz,59,98,"alternative r&b, escape room, trap queen","R&B, Pop",NO THANK YOU,12/12/2022,5:52,60,69,90,0,85,30,20,-8,C♯/D♭ Minor,4,1/3/2023,4pGxnHLyli1TLkRFHyBxo0,Forever Living Originals,12A,https://p.scdn.co/mp3-preview/8eb6fa6d25596562af0cdbfbe8e512b583a9fa05?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485172f48f1e2e04cc76d06ee708
3,Abathembu - Radio Edit,Ukhoikhoi,13,133,,,Nongqawuse EP,11/3/2022,3:09,66,71,50,1,50,40,10,-11,A#/B♭ Minor,4,1/4/2023,4Wi90l5ejhqoRm8GCPz1wK,Next Movement,3A,https://p.scdn.co/mp3-preview/2271c7a380ae07aefbf4c80fd36f835c91bd1008?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bdbcd3f359d1b512101763e5
4,Inaweza Haiwezi,"Blinky Bill,M.anifest,Khaligraph Jones",22,118,"kenyan pop, kenyan r&b, asakaa, ghanaian alternative, ghanaian hip hop, ghanaian pop, gengetone, kenyan hip hop","World/Traditional, Hip Hop, Pop, R&B",Inaweza Haiwezi,11/4/2022,3:14,84,86,29,0,84,0,0,-4,D Major,4,1/5/2023,6GbZgCtkDVQnuavXk6T3LG,2022 Rauka Music LTD,10B,https://p.scdn.co/mp3-preview/575f7c5ebacbcf69bce01591f0840f34c444487b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851010b9b3341a7e2440179fd12
5,Lets Work,"Jarv Dee,WD4D",13,115,"seattle hip hop, ",Hip Hop,Lets Work,11/4/2022,3:20,92,83,7,0,67,10,0,-7,C♯/D♭ Minor,4,1/6/2023,63la1G25v3hyba5kXVnecN,MOOR LIFE,12A,https://p.scdn.co/mp3-preview/e5b7dd07aec500ee44630b641d9a04adf93dedb8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c580851aca33c9c820a9fc5c
6,Starstruck,OSKA,45,98,austrian indie,R&B,"My world, My love, Paris",2/25/2022,2:57,60,54,47,0,57,0,20,-8,B Minor,4,1/9/2023,59kBx7BfPEANrVoO20v9cq,Nettwerk Music Group,10A,https://p.scdn.co/mp3-preview/fe3ee0de2fdf57dfb53539f7d59948d155c77abb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515c7705c4c7394d37c019d59a
7,Crazy Lizard,Club Makumba,18,174,portuguese rock,Rock,Club Makumba,1/21/2022,4:32,28,61,1,77,64,0,10,-9,A Minor,3,1/10/2023,0ibSQhg9kYfRemRkBrYCYl,Club Makumba,8A,https://p.scdn.co/mp3-preview/328358a7ffd10cde308ca0a7ce9c455c834666df?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851eac535ad79fcd1be7e5fa94b
8,Get Up!,BILBAO,43,172,,,Get Up!,1/19/2022,3:15,65,84,20,2,84,0,0,-7,D Major,4,1/11/2023,0weXGUBLk52zIbgMbP043L,[PIAS] Recordings Germany,10B,https://p.scdn.co/mp3-preview/16605fdac0444b293e9c0bd7c120d812245c90bd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485103ab0167fdcd670d210b881e
9,Blade,Queralt Lahoz,27,123,,,Blade,4/29/2022,3:17,93,57,18,0,16,10,10,-5,B Major,4,1/12/2023,4V21CsNRnycBA4PWFgjNB7,Costa Futuro,1B,https://p.scdn.co/mp3-preview/fecbcab604ff14b7749c75fbe6828460cd7925b9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851eb8ff810ccb1b5e602ee304c
10,All in Your Head,Caleb Kunle,22,97,irish pop,Pop,All in Your Head,5/5/2022,3:26,59,81,21,0,67,0,50,-4,D Minor,4,1/13/2023,41EhOIuGX1GPKj0JAGczle,Pony Recordings,7A,https://p.scdn.co/mp3-preview/8c3cb92676edda5c0bdf49c085dcaa25479a21ab?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851750447aa6702bc936de09b38
11,Blood Ah Go Run,"Dave Okumu,7 Generations,Wesley Joseph,ESKA",14,175,"uk alternative hip hop, ",Hip Hop,You Survived So I Might Live,11/21/2022,3:35,50,79,21,90,73,0,10,-10,A Minor,4,1/17/2023,2yI4cdM5dVfrSy8rJ1oXQX,Transgressive,8A,https://p.scdn.co/mp3-preview/e722cb2f5698fa2ee771e5ed64a8e05fcfdf27df?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d7e8d5cb615b139951909aa8
12,react (react),Fan Girl,12,165,,,react (react),11/8/2022,2:24,31,89,0,0,20,0,30,-6,D#/E♭ Major,4,1/17/2023,0jGYJ1Tk1x5Rf9pePJN0Xa,Independent,5B,https://p.scdn.co/mp3-preview/bdf99662b43f12d559568a76381dc16685eb429c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851841d71e3b314fb8050e58ff9
13,The Ocean Life,Moriah Bailey,13,119,,,i tried words,12/2/2022,3:44,38,40,91,0,4,0,10,-7,D Minor,4,1/18/2023,5xNvMq6J2Qoq9QLKHMCP8d,Keeled Scales,7A,https://p.scdn.co/mp3-preview/1a563d5ea5ccb6838c09e45df1cf21bdd4c8ca68?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e109ed89226aa3c22c83a042
14,What Are the Odds,Death Valley Girls,9,146,"action rock, indie punk, la indie","Rock, Pop",Sunday,1/11/2023,2:55,38,94,1,5,54,0,30,-5,D Major,4,1/19/2023,2ROKzSSGNcVQpGPWdlGgJJ,Suicide Squeeze Records,10B,https://p.scdn.co/mp3-preview/0d00bd2dc2b369fee940413f68c61ac584c04b55?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485136de9106c3b5baaf3731da3f
15,Doomscrollers,Quasi,0,190,"gbvfi, lo-fi",Rock,Doomscrollers,11/21/2022,4:23,25,66,1,0,50,0,0,-5,F#/G♭ Major,4,1/20/2023,65TxQkmxPrkLujVZjjWLj8,Sub Pop Records,2B,,https://i.scdn.co/image/ab67616d00004851c97c358905bb9a7c799cfb43
16,My Lovely Cat!,Deerhoof,13,129,"bay area indie, experimental indie rock, experimental pop, experimental rock, noise pop, noise rock","Rock, Pop",My Lovely Cat!,9/7/2022,4:24,34,87,1,7,57,10,20,-6,D Major,4,1/23/2023,2fVUU6UdlnijA8KzwDOvx5,Joyful Noise Recordings,10B,,https://i.scdn.co/image/ab67616d00004851dbf086243f7d30497a18fc89
17,"Heaven, Someday",Gladie,21,126,"5th wave emo, bubblegrunge",Rock,Don't Know What You're in Until You're Out,11/18/2022,3:00,46,92,0,1,65,0,10,-5,D Major,4,1/24/2023,5Tb7cVOKnO4Z2YfmUcmRuf,Plum Records,10B,https://p.scdn.co/mp3-preview/0d0c9a7424392813c05f4393afe8881e45e4e43e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e64c46b3dc4ec668389a6426
18,Get Inspired,Genesis Owusu,50,153,australian hip hop,Hip Hop,Get Inspired,10/22/2022,2:53,83,77,1,0,68,0,30,-6,C♯/D♭ Major,4,1/25/2023,4Og0uXMYqouN7xOQ7u8jiW,Ourness,3B,https://p.scdn.co/mp3-preview/246e0f45f8cf143fab584aaf4320e8660b6b4296?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510246531ebdc824f8739e0abf
19,Don't Give Up,Black Belt Eagle Scout,16,93,"bubblegrunge, portland indie",Rock,Don't Give Up,10/12/2022,5:00,47,52,20,2,28,0,10,-7,D Major,4,1/26/2023,0wT41MXx2HRPgF8eHdBEb7,Saddle Creek,10B,https://p.scdn.co/mp3-preview/dfbe06e947f434daa32cba76122d6b71f134e746?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c44ea0fbf3d595888794e01c
20,Night Fell,Hibou,29,149,"chill dream pop, electropop",Pop,Arc,1/13/2023,4:41,42,91,0,89,71,0,30,-6,F Major,4,1/27/2023,6AvQJ5PyIHl55VVfVJWAwk,3722803 Records DK2,7B,https://p.scdn.co/mp3-preview/0898cdb7765e7a9764165ed828b31a7624094071?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511d50a602e5b99f47212aadd1
21,Wild Animals,Liv.e,0,98,"alternative r&b, experimental hip hop, hypnagogic pop","R&B, Hip Hop, Pop",Wild Animals,11/17/2022,3:38,68,49,12,0,50,0,10,-9,F Minor,4,1/30/2023,3tr8E4dFE9VIuWbIiwiePE,In Real Life Music,4A,,https://i.scdn.co/image/ab67616d0000485169edc298f72718481753d92b
22,Stop Worry!,"MIKE,Sister Nancy",29,72,"alternative hip hop, chill abstract hip hop, indie hip hop, dancehall queen",Hip Hop,Stop Worry!,11/29/2022,2:32,57,75,23,0,90,20,30,-7,F Major,4,1/31/2023,2eGKhQce5DKGqrxPEBAOa9,10k,7B,https://p.scdn.co/mp3-preview/76893c21789ca199a14b117ee7070a5b15293386?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510cc8fbfb71c77a0a2f0eadb3
23,My Rebel,Fievel Is Glauque,23,99,experimental indie,Folk/Acoustic,Flaming Swords,11/25/2022,1:48,56,54,90,26,58,0,20,-7,G#/A♭ Minor,5,2/1/2023,2ycX4ylM7bXO9C3Bzlp7Mm,MATH Interactive,1A,,https://i.scdn.co/image/ab67616d0000485185e8c1bf544048b362d512ba
24,la clairefontaine,Christine and the Queens,24,100,"art pop, electro-pop francais, metropopolis, shimmer pop","Pop, R&B, Electronic",Redcar les adorables étoiles (prologue),11/11/2022,3:14,70,60,0,0,33,0,10,-7,F Major,4,2/2/2023,07P3Jjil7JpQVDPUNe39Gg,Because Music,7B,https://p.scdn.co/mp3-preview/56df739deb04ae2185fc60a7c40a26ad0428edac?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b0f771efdbb2929c04079542
25,Bassa Bassa,Jembaa Groove,34,110,,,Bassa Bassa,8/27/2021,5:01,77,62,53,78,91,0,0,-11,D Minor,4,2/6/2023,17kvxe79U3z1JFbQVKOWTI,Agogo Records,7A,https://p.scdn.co/mp3-preview/1a07389ffb86fe0f9146dc4f6475953fd83d20f1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f5878d793df7dba8f0f1435a
26,Spodrē Manu Augumiņu,Tautumeitas,18,120,latvian folk,Folk/Acoustic,Spodrē Manu Augumiņu,11/26/2020,3:24,68,60,55,0,39,0,0,-6,F#/G♭ Minor,4,2/7/2023,4Xa50uVkAA7mvax1ZYJzsL,Tautumeitas,11A,https://p.scdn.co/mp3-preview/290ae1e9ddb0198013e5d1ab237db2995588d7e0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485121d362c1fec7423728b0c484
27,Phil,52 Hertz Whale,13,120,slovak indie,Rock,Present Sense Impression,8/26/2022,4:49,50,90,4,21,38,0,10,-8,F#/G♭ Minor,4,2/8/2023,2ishPKH5Cr9nkUNKHTr1Br,Full Moon Forum,11A,https://p.scdn.co/mp3-preview/e6c89ecfac68d5e72ef852c1b9c8821e5b2e37fa?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485186d4856fba3d5d22d10f0996
28,Dabalomuni,Avalanche Kaito,11,121,,,Dabalomuni,1/21/2022,4:44,35,82,19,50,35,10,20,-7,G Major,3,2/9/2023,1vasABzYBJwcJvbKIxXAYy,Glitterbeat Records,9B,https://p.scdn.co/mp3-preview/35316b609f1998929d5825abbf22e536b0c75398?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851600b285da2e8e5629314fe7b
29,ICU,Fight Milk,9,150,,,FIGHT MILK,5/3/2022,2:00,68,47,1,10,94,0,10,-14,B Minor,4,2/10/2023,1VdOJ2FrHCRHpUby1GXTcR,1293495 Records DK,10A,https://p.scdn.co/mp3-preview/fe67a26a6a4e00cfac4e372c7e70d890bf3978ca?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c86e190757853d363a9b5454
30,MA EMILY,C.S. Armstrong,11,80,,,THE MAKINGS OF ME,7/22/2022,2:26,55,54,76,0,83,10,20,-9,F#/G♭ Minor,4,2/13/2023,0nkOvO9n8HlCdiBAe9ZlV5,C.S. Armstrong,11A,https://p.scdn.co/mp3-preview/8b30f4deef531ce352fba8eab18563f72f2e4530?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485199377db65778397422b77a26
31,Don't Hide (feat. Kingsley Ibeneche),"Ivy Sole,Kingsley Ibeneche",13,95,"alternative r&b, north carolina hip hop, ","R&B, Hip Hop",Don't Hide (feat. Kingsley Ibeneche),1/20/2023,3:04,84,46,70,0,55,0,10,-8,C Major,4,2/14/2023,6eS9ZgwaFfN84GZP9c3uo8,"Ivy Sole LLC, Distributed by Venice Music",8B,https://p.scdn.co/mp3-preview/54f1a4fcdd2bb070fb68daa08888845df506c9de?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485104493a9a455341c5cef0c690
32,Fire in Detroit,"Adrian Younge,Ali Shaheed Muhammad,Phil Ranelin,Wendell Harrison",28,162,"african-american classical, indie jazz, jazz funk, jazz trombone","Classical, Jazz, Easy listening",Fire in Detroit,1/6/2023,4:59,30,67,5,6,52,0,0,-11,A Major,4,2/15/2023,4yPhWtjwLt2SjM0U721f73,Jazz Is Dead,11B,https://p.scdn.co/mp3-preview/8bb6f7b6ab3e6fded63ce8ad0c82b94d655f5477?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511806cb967676e2fd52240b7e
33,Try Again,Oddisee,33,116,"alternative hip hop, instrumental hip hop, sudanese pop","Hip Hop, Pop",To What End,1/20/2023,2:47,86,71,4,0,48,10,0,-11,A#/B♭ Minor,4,2/16/2023,5Fp1utsvyFfjmdA6eUVbiK,Outer Note Label LLC,3A,https://p.scdn.co/mp3-preview/1b0e9d4d84d8ff0c8909a34548b3ea151ffdd41a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516ca1318477f40593f9f2924a
34,Somewhere someplace,King Zaae,9,80,,,Somewhere someplace,10/15/2022,4:12,58,46,80,0,20,0,10,-7,E Major,3,2/17/2023,3ypei6nqcYkCFhihqWEUO7,2095575 Records DK,12B,https://p.scdn.co/mp3-preview/2085c380def59ca4ff52ac4df3fbcfb21fc2298b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515006f4dd5a0e9ebbe80b1a2e
35,Colossal Waste of Light,Eyelids,0,96,"gbvfi, jangle pop","Rock, Pop",Colossal Waste of Light,1/5/2023,3:19,41,84,0,34,63,0,30,-6,E Major,4,2/20/2023,7GeYizLySNmOzTvxp2TIcB,Jealous Butcher Records,12B,,https://i.scdn.co/image/ab67616d00004851fbed4bb303cda5e614c2674e
36,Brass Bell,Screaming Females,0,157,"bubblegrunge, indie punk, new jersey hardcore, new jersey indie, riot grrrl","Rock, Metal",Brass Bell,1/17/2023,4:23,41,91,1,0,45,0,30,-4,D Major,4,2/21/2023,0vNu5t0o0R57Xy1e10d5zI,Don Giovanni Records,10B,,https://i.scdn.co/image/ab67616d000048516681be97a7391a8f16325c0d
37,Fatal Flaw,Thrillhouse,20,152,,,Fatal Flaw,11/18/2022,3:41,58,83,25,4,93,0,30,-10,A Major,4,2/22/2023,5Zh36l5Uc1prVpXvGIoxq9,Thrillhouse,11B,https://p.scdn.co/mp3-preview/5ef10a9421fff414407a03f8171605779ab57895?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511386055d813a47f9a9087940
38,Pushing Forward,Spirit Award,0,142,seattle indie,Rock,Pushing Forward,1/26/2023,3:46,51,68,26,0,45,0,0,-6,D Major,4,2/23/2023,39irzBYAijnnR2X2bAiDgk,Share It Music,10B,,https://i.scdn.co/image/ab67616d000048518a58792fbae5368b1e1201a4
39,Spinning Circles,Pilot Seat,11,136,,,Spinning Circles,10/28/2022,3:11,50,67,1,80,14,0,10,-7,F#/G♭ Minor,4,2/24/2023,7rLqa3nY88oEWJVM6GSqky,Pilot Seat,11A,https://p.scdn.co/mp3-preview/2ac78a4334ed135d54871bc83edb8660261520dc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851c4c659d165f11a1a0f51bbcc
40,On My Way,June McDoom,38,112,,,On My Way,10/11/2022,3:32,48,43,1,81,18,0,0,-11,F#/G♭ Minor,4,2/27/2023,74cDV5HXtQmQ1hMfa8JoIK,Temporary Residence Ltd.,11A,https://p.scdn.co/mp3-preview/1ce26b701ad1c632d4d2f713d6378d928858d9cb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e502a0ae8c61c39909a62efe
41,Amnesia,M83,0,140,"french shoegaze, french synthpop, indietronica, metropopolis, neo-synthpop","Metal, Pop, Electronic",Fantasy - Chapter 1,2/9/2023,4:03,38,70,4,6,12,0,10,-5,F Major,4,2/28/2023,2ChvtqOzGcJlaA6K2UNvhM,Universal Music Division Virgin Records Distribution Deal,7B,,https://i.scdn.co/image/ab67616d00004851cbf86843e90e85c14a37bef4
42,Simple Things,"Petite Noir,Theo Croker",11,135,"chamber psych, experimental r&b, south african alternative, south african rock, indie jazz, jazz brass, jazz trumpet","Folk/Acoustic, R&B, Jazz, World/Traditional, Rock",Simple Things,11/30/2022,3:17,82,61,27,2,62,0,40,-8,G#/A♭ Minor,4,3/1/2023,75hLIkx0MpoWDc8LJfOsPR,Roya,1A,https://p.scdn.co/mp3-preview/6c90565227100d9658e70d7502792ec3a276c31f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513b1a3b42dc8ce2508d3d66ea
43,Echolalia,Yves Tumor,44,130,"art pop, escape room, experimental pop, experimental r&b, hypnagogic pop","Pop, R&B",Echolalia,1/30/2023,3:00,75,82,4,82,75,0,10,-7,C Minor,4,3/2/2023,7uECCWx2tz4T102b2QBS0p,Warp Records,5A,https://p.scdn.co/mp3-preview/f05c0c76f1e0c5fa652c30ce77ec6d34911e3e9a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516349cce0e2c6d68aa8edc173
44,(Gotta Get) Over You,Zari Alexandria,10,149,,,(Gotta Get) Over You,10/28/2022,4:09,71,49,65,0,61,0,0,-15,D Major,4,3/3/2023,62JK87vj4cchQqCKWawxib,Zari Alexandria,10B,https://p.scdn.co/mp3-preview/8e71afc557b300be04ff09f69e6cf50155ce2682?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516b3ed8ebe29a02c8c7cb51c2
